participant ID,object,use_number,use,rater_1,rater_2,rater_3,rater_4,rater_5,rater_6,rater_7,rater_8,rater_9,rater_10,rater_11,rater_12,rater_13,rater_14,rater_15,rater_16,rater_17,rater_18,rater_19,rater_20,rater_21,rater_22,rater_23,rater_24,rater_25,rater_26,rater_27,rater_28,rater_29,rater_30,rater_31,rater_32,rater_33,rater_34,rater_35,rater_36,rater_37,rater_38,rater_39,rater_40,rater_41,rater_42,rater_43,rater_44,rater_45
1816,נעל,3,ליצור הדפס צעדים,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,3.0,nan,1.0,nan,nan,nan,2.0,nan
1816,נעל,4,להשתמש בשרוכים כחגורה,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,4.0,nan,4.0,nan,nan,nan,5.0,nan
1824,נעל,1,להרוג חרקים,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,1.0,nan
1824,נעל,2,מחבוא,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,4.0,nan,2.0,nan,nan,nan,2.0,nan
1824,נעל,3,כלי הגשה לאוכל,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,3.0,nan,5.0,nan,nan,nan,4.0,nan
1824,נעל,4,משקולת נייר,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,3.0,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,3.0,nan
1824,נעל,5,פסל,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,4.0,nan,4.0,nan,nan,nan,4.0,nan
1824,נעל,6,אדנית פרחים,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,5.0,nan
1901,נעל,1,עציץ,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,3.0,nan
1901,נעל,2,פסל,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,4.0,nan,4.0,nan,nan,nan,4.0,nan
1901,נעל,3,דלי צבע,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,5.0,nan,4.0,nan,nan,nan,5.0,nan
1901,נעל,4,אקווריום דגים,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,4.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,5.0,nan
1901,נעל,5,לתלות על הרכב אחרי החתונה,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,3.0,nan,1.0,nan,nan,nan,1.0,nan
1901,נעל,6,כפפה,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,3.0,nan,5.0,nan,nan,nan,4.0,nan
1901,נעל,7,בובת ידיים,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,3.0,nan,3.0,nan,nan,nan,3.0,nan
1901,נעל,8,למחוא כפיים בחוזקה,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,3.0,nan,nan,nan,nan,nan,nan,4.0,nan,3.0,nan,nan,nan,3.0,nan
1901,נעל,9,לסקול מישהו,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,2.0,nan
1901,נעל,10,כלי נשק,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,5.0,nan,4.0,nan,nan,nan,4.0,nan
1901,נעל,11,להרוג חרקים,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,1.0,nan
250,נעל,1,לזרוק על מישהו,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,3.0,nan,nan,nan,2.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,2.0,nan
250,נעל,2,אדנית פרחים,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,5.0,nan
250,נעל,3,להחביא את המפתח של הדירה,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,4.0,nan,nan,nan,4.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,4.0,nan,3.0,nan,nan,nan,2.0,nan
250,נעל,4,מעצור לדלת,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,3.0,nan,nan,nan,2.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,4.0,nan,2.0,nan,nan,nan,2.0,nan
1686,נעל,1,לנעול אותם על הרגליים,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,1.0,nan
1686,נעל,2,עציץ,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,3.0,nan
1686,נעל,3,לחנך ילד,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan
1686,נעל,4,בית לאוגר,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,4.0,nan
1798,נעל,1,להרוג חרקים,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,1.0,nan
1798,נעל,2,כפפה,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,3.0,nan,5.0,nan,nan,nan,4.0,nan
1895,נעל,1,מחבוא,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,4.0,nan,2.0,nan,nan,nan,2.0,nan
1895,נעל,2,לתופף איתה,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,4.0,nan,5.0,nan,nan,nan,4.0,nan
1895,נעל,3,עציץ,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,3.0,nan
1514,נעל,1,לנעול אותם על הרגליים,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,1.0,nan
1514,נעל,2,מחבוא,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,4.0,nan,2.0,nan,nan,nan,2.0,nan
1514,נעל,3,אדנית פרחים,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,5.0,nan
1514,נעל,4,מעצור לדלת,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,3.0,nan,nan,nan,2.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,4.0,nan,2.0,nan,nan,nan,2.0,nan
1514,נעל,5,כלי נשק,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,5.0,nan,4.0,nan,nan,nan,4.0,nan
1514,נעל,6,לזרוק על משהו גבוה כדי להוריד אותו למטה,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,3.0,nan,nan,nan,4.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,3.0,nan,2.0,nan,nan,nan,2.0,nan
1812,נעל,1,עציץ,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,3.0,nan
1812,נעל,2,"מעמד לסכו""ם",nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,4.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,3.0,nan,5.0,nan,nan,nan,4.0,nan
1781,נעל,1,אקווריום דגים,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,4.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,5.0,nan
1781,נעל,2,פסל,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,4.0,nan,4.0,nan,nan,nan,4.0,nan
1781,נעל,3,לשים על הידיים ולעשות הליכת ידיים,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,3.0,nan,nan,nan,nan,nan,nan,3.0,nan,4.0,nan,nan,nan,2.0,nan
1883,נעל,1,עציץ,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,3.0,nan
1883,נעל,2,מתלה תכשיטים,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,5.0,nan
1526,נעל,1,עציץ,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,3.0,nan
1526,נעל,2,צעצוע לכלב,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,3.0,nan,4.0,nan,nan,nan,2.0,nan
1526,נעל,3,להרוג חרקים,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,1.0,nan
825,נעל,1,סירה לבובות,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,4.0,nan,5.0,nan,nan,nan,4.0,nan
825,נעל,2,זריקה לרוחק,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,4.0,nan,3.0,nan,nan,nan,2.0,nan
825,נעל,3,בובת ידיים,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,3.0,nan,3.0,nan,nan,nan,3.0,nan
825,נעל,4,פסל,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,4.0,nan,4.0,nan,nan,nan,4.0,nan
825,נעל,5,אדנית פרחים,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,5.0,nan
825,נעל,6,כלי אוכל לציפורים,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,5.0,nan
1836,נעל,1,מעצור לדלת,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,3.0,nan,nan,nan,2.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,4.0,nan,2.0,nan,nan,nan,2.0,nan
1836,נעל,2,להרוג חרקים,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,1.0,nan
1836,נעל,3,משקולת נייר,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,3.0,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,3.0,nan
1836,נעל,4,להשתמש בשרוכים כחגורה,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,4.0,nan,4.0,nan,nan,nan,5.0,nan
392,נעל,1,מחמם אוזניים,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,4.0,nan,5.0,nan,nan,nan,5.0,nan
392,נעל,2,בית לאוגר,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,4.0,nan
392,נעל,3,זריקה לרוחק,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,4.0,nan,3.0,nan,nan,nan,2.0,nan
392,נעל,4,ג'אנגלינג,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,2.0,nan,nan,nan,4.0,nan
392,נעל,5,מחסום לקורקינט,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan
392,נעל,6,כוס,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,5.0,nan
1652,נעל,1,עציץ,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,3.0,nan
1652,נעל,2,צעצוע לכלב,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,3.0,nan,4.0,nan,nan,nan,2.0,nan
1652,נעל,3,להרוג חרקים,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,1.0,nan
1652,נעל,4,זריקה לרוחק,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,4.0,nan,3.0,nan,nan,nan,2.0,nan
1652,נעל,5,גירוש זבובים,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,2.0,nan,nan,nan,2.0,nan
1813,נעל,1,להרוג חרקים,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,1.0,nan
1813,נעל,2,למחוא כפיים בחוזקה,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,3.0,nan,nan,nan,nan,nan,nan,4.0,nan,3.0,nan,nan,nan,3.0,nan
1596,נעל,1,עציץ,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,3.0,nan
1596,נעל,2,כוס,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,5.0,nan
1596,נעל,3,בובת ידיים,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,3.0,nan,3.0,nan,nan,nan,3.0,nan
1596,נעל,4,לטבול אותה בדיו ואז להשתמש בה כמכחול ענק,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,4.0,nan
1596,נעל,5,גירוש זבובים,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,2.0,nan,nan,nan,2.0,nan
1596,נעל,6,מעצור לדלת,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,3.0,nan,nan,nan,2.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,4.0,nan,2.0,nan,nan,nan,2.0,nan
412,נעל,1,אדנית פרחים,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,5.0,nan
412,נעל,2,מכסה לטלפון,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,4.0,nan
412,נעל,3,בית לאוגר,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,4.0,nan
412,נעל,4,כוס,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,5.0,nan,5.0,nan,nan,nan,5.0,nan
412,נעל,5,פריט עיצוב לבית,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,3.0,nan,5.0,nan,nan,nan,3.0,nan
412,נעל,6,מקום לשים בו את השלט של הטלוויזיה,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,3.0,nan,3.0,nan,nan,nan,4.0,nan
412,נעל,7,כפפה,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,3.0,nan,5.0,nan,nan,nan,4.0,nan
